Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,images,description,datum,location,werke,feature,article
Alte Wiede Fabrik “Holzweir”,alte-wiede-fabrik-holzweir,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a147a8a63ed399f650,false,false,Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:05 GMT+0000 (Coordinated Universal Time),,,Fri Dec 31 2010 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
"Alte Wiede Fabrik, “Heimat”",alte-wiede-fabrik-heimat,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a2d6cc1301eddcdcab,false,false,Thu Jan 22 2026 19:21:06 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:06 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:06 GMT+0000 (Coordinated Universal Time),,,Fri Dec 31 2010 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
Art Cologne,art-cologne,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972789bbb148071221ad745,false,false,Thu Jan 22 2026 19:20:59 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:59 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:59 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789bbb148071221ad737_IMG_1025-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789bbb148071221ad73f_IMG_1020-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789bbb148071221ad73b_IMG_0877.jpeg,,Sat Dec 31 2016 23:00:00 GMT+0000 (Coordinated Universal Time),"Köln, DE",,false,
Art Hamburg,art-hamburg,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972788e3a480cf9f9c90642,false,false,Thu Jan 22 2026 19:20:46 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:46 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:46 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788e3a480cf9f9c90632_IMG_1506-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788e3a480cf9f9c9063b_IMG_1499-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788e3a480cf9f9c9060f_IMG_1494-scaled.jpeg; https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788e3a480cf9f9c9061b_IMG_1500-scaled.jpeg,,Sat Dec 31 2022 23:00:00 GMT+0000 (Coordinated Universal Time),"Hamburg, DE",,false,
Art Muc,art-muc,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972789e08a60e4cba93bb51,false,false,Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),,,Thu Dec 31 2015 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
Art Muc,art-muc-a4921,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972789f436c1d1ce3f85010,false,false,Thu Jan 22 2026 19:21:03 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:03 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:03 GMT+0000 (Coordinated Universal Time),,,Wed Dec 31 2014 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
Art Shanghai,art-shanghai,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972789e08a60e4cba93bac5,false,false,Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972789e08a60e4cba93ba90_IMG_0937-scaled.jpeg,,Sat Dec 31 2016 23:00:00 GMT+0000 (Coordinated Universal Time),"Shanghai, CN",,false,
Artbunker Grünwald,artbunker-grunwald,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,6972788710fd1aee5d64cd7d,false,false,Thu Jan 22 2026 19:20:39 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:39 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:20:39 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/696e3e2685bc773db82e3fca/6972788710fd1aee5d64cd75_ARTBUNKER-GRUNWALD.invite.pdf_pages-to-jpg-0001.jpeg,,Tue Dec 31 2024 23:00:00 GMT+0000 (Coordinated Universal Time),"Grünwald, DE",,false,
Artbunker Grünwald,artbunker-grunwald-95ce7,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,69728044b4275dfd6904c546,false,false,Thu Jan 22 2026 19:53:40 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 12:46:47 GMT+0000 (Coordinated Universal Time),Wed Jan 28 2026 12:46:47 GMT+0000 (Coordinated Universal Time),,,Tue Dec 31 2024 23:00:00 GMT+0000 (Coordinated Universal Time),"Grünwald, DE",,false,
Bay. Rechtsanwaltskammer,bay-rechtsanwaltskammer,697275d29b50275b1e811754,696e3e2685bc773db82e3fc9,697278a008a60e4cba93bbcd,false,false,Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),Thu Jan 22 2026 19:21:04 GMT+0000 (Coordinated Universal Time),,,Tue Dec 31 2013 23:00:00 GMT+0000 (Coordinated Universal Time),"München, DE",,false,
